"id","UF","População 2016","Municípios","Receita Total","Receitas Correntes","Impostos Patrimônio e Renda","IPTU","IRRF","ITBI","ISS","Receita Agropecuária","Transferências Correntes","Transferências Intergovernamentais","Transferências da União","Participação na Receita da União","FPM","ITR","IOF- Ouro","SUS Fundo a Fundo - União","FNAS","FNDE","ICMS - Desoneração Lei Kandir","Transferências dos Estados","Participação na Receita dos Estados","ICMS","IPVA","IPI - Exportação","CIDE","Outras Participações na Receita dos Estados","Transferências dos Municípios","Transferências de Convênios"
2601003,"PE",10965,"Angelim",28591699.73,28289036.23,329306.14,19907.91,274329.48,35068.75,624427.62,0,26247363.16,26247363.16,15991990.22,11898930.64,11895097.87,3832.77,0,3022017.62,282153.63,688860.62,6163.32,3187256.84,3187256.84,2848227.59,206956.09,4751.47,0,127321.69,0,0
2601052,"PE",20046,"Araçoiaba",39158486.3,42968409.83,434342.73,33275.67,401067.06,0,0,0,40022540.19,39756490.19,23494584.2,17843235.73,17842646.06,589.67,0,3838945.2,643632.33,983893.83,8002.88,4844380.33,4074639.66,3699148.25,342426.82,0,33064.59,0,0,266050
2601102,"PE",83287,"Araripina",141688626.49,151308195.78,3935477.49,509079.19,3173408.71,252989.59,3946935.98,0,122197382.77,122084808.01,62540928.06,41996118.36,41632842.43,33744.93,329531,11763268.38,2104887.46,5868782.06,31002.84,17839279.95,17773719.26,14232575.37,3421343.47,119800.42,0,0,0,112574.76
2601201,"PE",73154,"Arcoverde",134697789.57,132363992.61,3259350.33,1367780.69,1085649.26,805920.38,6934400.74,0,106799138.44,104826195.25,62314285.38,38666405.26,38659067.96,7337.3,0,19725912.07,1590425.51,1958590.59,36375.92,21799737.31,21616593.17,16808739.63,4690271.9,28041.97,89539.67,0,0,1972943.19
2601300,"PE",14091,"Barra de Guabiraba",29452490.26,31472365.88,359790.82,24200.09,335590.73,0,0,0,28935299.24,28935299.24,18291374.18,14873571.9,14868872.07,4699.83,0,2384609.77,276715.27,631902.88,7288.28,3636801.52,3636801.52,3372251.93,210308.52,11369.28,26026.29,16845.5,0,0
2601409,"PE",42331,"Barreiros",75809267.76,81889921.82,1804750.33,835711.53,969038.8,0,1567693.65,0,77671372.28,77366331.58,49059416.72,29767424.69,29737744.65,29680.04,0,16489323.02,772899.67,1772430.15,13311.84,7829452.02,7286075.05,6147690.03,1061181.4,10185.45,60667.05,6351.12,0,305040.7
2601508,"PE",11941,"Belém de Maria",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601607,"PE",20672,"Belém de São Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601706,"PE",75729,"Belo Jardim",159234283.13,159229569.54,5158246.71,1685505.14,2772703.73,700037.84,5980183.13,0,130385510.51,127588083.75,56879951.16,38673422.14,38659067.96,14354.18,0,11868958.82,1603127.82,4360134.08,64350.12,33061720.12,32518810.67,29575171.01,2803238.4,49211.1,91190.16,0,0,2247424.76
2601805,"PE",12589,"Betânia",30105230.72,31260884.27,270047.38,75103.33,191877.52,0,0,0,29083122.56,28589242.18,15950545.17,11898021.63,11895097.87,2923.76,0,2596852.61,406106.02,950481.81,5874.48,3044062.97,3028495.75,2704526.75,194995.5,4517.75,12942.48,111513.27,0,493880.38
2601904,"PE",60469,"Bezerros",108830166.43,112629868.74,2422888.93,423753.21,1696379.2,302756.52,1940865.92,0,92928858.08,92681983.94,57262929.58,32728199.46,32711519.02,16680.44,0,20047893.62,1493788.95,2718736.35,15657,9896671.2,9556156,7215885.59,1732155.94,22668.82,75105.05,510340.6,0,246874.14
2602001,"PE",37571,"Bodocó",69737621.22,70670141.85,557001.42,0,557001.42,0,1423641.51,0,64391741.61,64391741.61,35092253.35,23794636.02,23790195.62,4440.4,0,6782240.84,1677141.65,2465343.93,10685.04,5927395.93,5275179.74,4941330.46,274975.11,8243.52,50630.65,0,0,0
2602100,"PE",47991,"Bom Conselho",90337512.26,92583861.82,3116562.92,234296.88,2617650.79,264615.25,1236863.89,0,80497972.49,80268977.99,41911137.64,29749603.06,29737744.64,11858.42,0,7473014.59,1017473.51,3425819.4,11032.56,6355070.05,6253356.28,5086441.24,1094465.75,8478.8,63970.49,0,0,228994.5
2602209,"PE",38976,"Bom Jardim",73524735.83,74100196.3,395285.92,0,393745.68,132.5,1253821.53,0,65366897.72,65366897.72,36996717.34,26767789.41,26763970.14,3819.27,0,6288664.57,879334.37,2629438.69,10363.68,5901438.96,5808005.55,4790524.07,954325.47,7992.08,55163.93,0,0,0
2602308,"PE",38069,"Bonito",76191564.58,78924267.68,1254692.78,119302.3,973064.15,162326.33,1213744.39,0,69806604.57,69660148.63,37495518.39,26774894.52,26763970.14,10924.38,0,7303219.4,812996.8,2382618.13,10909.8,6455465.58,6038654.73,5037840.62,937730.74,8404.49,54678.88,0,38280,146455.94
2602407,"PE",8980,"Brejão",28582900.43,27419327.65,308012.34,284.71,274713.85,33013.78,231823.34,0,25419411.28,25259411.28,13208747.62,8923975.04,8921323.33,2651.71,0,2954588.71,249873.2,944262.05,6875.16,3534873.23,3368478.85,3171663.18,175528.95,5285.6,16001.12,0,0,160000
2602506,"PE",7464,"Brejinho",24514719.43,23206733.89,318860.4,35269.98,273886.68,9703.74,196338.75,0,21499176.27,21484076.32,11973953.37,8921493.56,8921323.33,170.23,0,2173890.99,254687.33,528137.32,9174.04,4401505.85,4401505.85,4228913.5,85723.53,7055.14,15085.07,64728.61,0,15099.95
2602605,"PE",49624,"Brejo da Madre de Deus",88725611.91,91731370.82,2359893.77,149206.03,2072506.89,138180.85,2640630.48,0,79661483.08,79490364.67,42623532.81,29742977.35,29737744.64,5232.71,0,8413164.35,1132851.33,3091176.88,8565.32,5221586.37,5097209.73,3954734.46,1071157.66,6597.55,64720.06,0,0,171118.41
2602704,"PE",13050,"Buenos Aires",28283362.31,29238427.11,400701.02,18226.54,360948.6,21525.88,248391.96,0,26714538.31,26714538.31,15864129.78,11898532.69,11895097.87,3434.82,0,2930374.52,267913.15,665314.9,7722.92,4015578.73,4015578.73,3567694.69,250251.44,6273.27,21943.01,169416.32,0,0
2602803,"PE",57120,"Buíque",95472138.87,93976939.82,1541949.82,100239.54,1287409.02,154301.26,862030.7,0,85442012.11,83657491.88,41848365.24,32723182.11,32711519.03,11663.08,0,232834.81,0,3626009.57,15081.08,7987748.62,7987748.62,6735916.12,1151476.45,20848.97,72703,6804.08,0,1784520.23
2602902,"PE",202636,"Cabo de Santo Agostinho",677710598.31,707506149.6,45826389.17,15427315.7,22317046.06,8082027.41,58560071.99,0,502730201.6,501707167.98,147778662.25,92947699.35,92835573.9,112125.45,0,31538335.59,2365628.77,8475040.99,529099.32,253251769.75,253251769.75,243450044.49,8801689.87,405206.98,219451.11,375377.3,0,960299.58
2603009,"PE",33557,"Cabrobó",64823315.06,62287612.1,1427553.61,139206.75,1288346.86,0,0,0,55348554.57,53973489.69,28669820.65,23794273.67,23790431.73,3841.94,0,2037908.02,1308632.4,1205998.92,10895.04,7544741.3,6632553.06,5032232.72,862049,7082.39,48180.09,683008.86,0,1375064.88
2603108,"PE",20082,"Cachoeirinha",39853102.74,41415742.28,598242.14,164661.91,336510.67,97069.56,491165.22,0,36935054.14,36365902.5,24083993.1,17844117.22,17842646.78,1470.44,0,4059860.17,493205.54,1188184.57,8846.92,5151311.79,4753426.67,4087685.97,642881.94,9445.33,13413.43,0,0,569151.64
2603207,"PE",28326,"Caetés",59730661.96,58981555.51,434377.6,19073.87,410646.25,4657.48,4246411.7,0,51991690.3,51991672.8,28984530.29,20817541.17,20816421.21,1119.96,0,5355670.51,760958.64,1878339.95,8055.08,4555342.92,4240544.1,3690643.7,502138.36,6157.1,41604.94,0,0,17.5
