"id","UF","População 2016","Municípios","Receita Total","Receitas Correntes","Impostos Patrimônio e Renda","IPTU","IRRF","ITBI","ISS","Receita Agropecuária","Transferências Correntes","Transferências Intergovernamentais","Transferências da União","Participação na Receita da União","FPM","ITR","IOF- Ouro","SUS Fundo a Fundo - União","FNAS","FNDE","ICMS - Desoneração Lei Kandir","Transferências dos Estados","Participação na Receita dos Estados","ICMS","IPVA","IPI - Exportação","CIDE","Outras Participações na Receita dos Estados","Transferências dos Municípios","Transferências de Convênios"
1400704,"RR",9664,"Uiramutã",20244667.33,20886718.56,74181.39,0,74181.39,0,29486.84,0,20440581.93,20440581.93,6867811.3,3672092.37,3672092.37,0,0,2870324.8,16428.82,271536.09,3139.92,3173808.87,3059802.99,2985121.13,886.68,262.99,73532.19,0,0,0
1700251,"TO",2555,"Abreulândia",10684095.25,12072400.03,551493.68,28042.46,163487.43,359963.79,289987.13,0,10586709.33,10352519.33,7620678.01,6674829.46,6568790.07,106039.39,0,571154.81,138046.12,108167.87,856.08,1326296.77,1316259.63,1239188.59,52854.65,1799.26,22417.13,0,0,234190
1700301,"TO",6307,"Aguiarnópolis",17123095.02,18391666.13,138479.16,4059.04,130420.12,4000,1195789.6,0,17007249.52,16659677.49,8274670.7,6585837.99,6568790.07,17047.92,0,1100647.37,206049.62,206998.16,3085.92,4797403.05,4797403.05,4474516.97,285297.43,7423.31,30165.34,0,0,324730
1700350,"TO",5565,"Aliança do Tocantins",13767312.93,14982001.2,621794.74,33500,131777.92,456516.82,492999.78,0,13576720.37,13576720.37,8704683.73,6781640.66,6568790.07,212850.59,0,1126830.3,320862.32,289577.2,1228.8,2056074.76,2056074.76,1779168.13,238251.87,9554.07,29100.69,0,0,0
1700400,"TO",7340,"Almas",15017435.13,16210903.03,739615.07,7685.63,276922.07,455007.37,398484.45,0,14799650.47,14799650.47,8799330.73,6645239.95,6568790.07,76449.88,0,1288533.86,355299.56,406647.16,1378.68,2218444.62,2204805.56,2001055.21,168506.5,2211.73,33032.12,0,0,0
1700707,"TO",8526,"Alvorada",23197857.91,24679637.79,495806.99,203411.56,157733.91,134661.52,1204920.6,0,22234823,21872283.65,8911507.43,6730090.34,6568790.08,161300.26,0,1338511.46,362438.75,264542.16,5485.2,8571187.41,8571187.41,7914747.96,617467.82,3529.44,35442.19,0,0,362539.35
1701002,"TO",9798,"Ananás",19177609.97,20364083.59,422725.5,64358.15,103908.38,38224.94,262285.56,0,18507963.6,17973420.44,10198370.09,6580179.02,6580179.02,0,0,2450011.67,244646.93,763315.44,1506.06,2505973.95,2505973.95,2129485.35,353615,0,22873.6,0,0,534543.16
1701051,"TO",3401,"Angico",10600107.06,11365737.42,198581.82,10159.49,89469.57,12650.11,65469.54,0,11012304.86,10715185.31,7814722.71,6568790.05,6568790.05,0,0,619851.33,209760.75,328475.92,692.57,1101509.3,1101509.3,1007397.62,69876.81,0,24234.87,0,0,297119.55
1701101,"TO",4672,"Aparecida do Rio Negro",14187532.5,15540475.83,603040.14,39.24,2831.76,600169.14,323165.79,0,14422618.9,13383974.17,8442176.59,6660882.53,6568830.08,92052.45,0,1350188.92,131440.11,198450.04,905.04,1502459.15,1493285.6,1312406.75,151867.8,577.31,26903.96,1529.78,0,1038644.73
1701309,"TO",5887,"Aragominas",14473362.62,14698112.71,332955.92,139653.79,0,193302.13,242522.41,0,13993986.54,13437507.52,9047657.09,6618619.27,6568790.07,49829.2,0,1701968.83,276299.44,364401.75,872.4,1420963.14,1420963.14,1265369.47,124115.9,1725.13,29752.64,0,0,556479.02
