id,UF,População 2016,nome,Total da Despesa por Função per capita,Legislativa per capita,Judiciária per capita,Essencial à Justiça per capita,Administração per capita,Defesa Nacional per capita,Segurança Pública per capita,Relações Exteriores per capita,Assistência Social per capita,Previdência Social per capita,Saúde per capita,Trabalho per capita,Educação per capita,Cultura per capita,Direitos da Cidadania per capita,Urbanismo per capita,Habitação per capita,Saneamento per capita,Gestão Ambiental per capita,Ciência e Tecnologia per capita,Agricultura per capita,Organização Agrária per capita,Indústria per capita,Comércio e Serviços per capita,Comunicações per capita,Energia per capita,Transporte per capita,Desporto e Lazer per capita,Encargos Especiais per capita,TOTAL DA DESPESA POR FUNÇÃO (INTRAORÇAMENTÁRIA) per capita,TOTAL GERAL DA DESPESA POR FUNÇÃO per capita,IDHM 2010,IDHM Educação 2010,IDHM Longevidade 2010,IDHM Renda 2010,Receita Total,Receitas Correntes,IPTU,ITBI,ISS,Transferências Correntes,Transferências da União,FPM,ITR,SUS Fundo a Fundo - União,FNAS,FNDE,Transferências dos Estados
2921302,BA,11621,Milagres,2127.28465364426,55.6790018070734,,,400.85835212116,,,,105.146718010498,,382.250346785991,,941.258000172102,74.2397676619912,,41.7009181653902,,,6.38739523276826,,,,,,,,32.1408897685225,35.0723853368901,52.5508785818776,,2127.28465364426,0.622,0.518,0.789,0.59,25845755.78,27678403.11,31578.11,13828.79,668639.54,26390307.71,15651164.8,11810198.36,4869.05,2470721.32,433901.58,815395.43,2240511.57
2921401,BA,18588,Mirangaba,2079.03748332257,70.1361867871745,,,302.8703168711,,,,73.8872756617172,,408.13944157521,,979.761863029912,12.6882935227028,,98.3760964062836,0.622578545298042,,10.0436507424145,,18.0019738540994,,,,,,33.9416516031849,38.354880030127,32.2132746933505,,2079.03748332257,0.542,0.454,0.685,0.512,38491671.73,41804453.15,17046.01,0,411407.31,40045950.25,23762869.42,17715297.55,11454.8,3988646.87,623879.64,1252187.01,3450592.54
2921450,BA,9735,Mirante,2022.23475398048,72.4977370313302,,,201.186057524397,,12.6092542372881,,138.501756548536,,468.497592193118,,800.127183359014,0.0529738058551618,,150.101253210067,,38.2639661016949,,,8.81241397021058,,,,,20.1278099640473,111.456756034926,,,,2022.23475398048,0.527,0.386,0.722,0.524,20163713.7,21726936.18,15123.43,2821.99,377567.54,20913851.35,12137580.14,8857648.76,2951.25,2154432.34,336066.18,666102.38,2385728.64
2921500,BA,52015,Monte Santo,1892.67876189561,49.6510039411708,,,237.062887820821,,,,66.2785665673363,,418.620235508988,,966.754595789676,16.109295395559,,59.0236229933673,,,,13.5771765836778,13.51413419206,,,,,,16.9237100836297,3.10147303662405,32.0620599826973,,1892.67876189561,0.506,0.359,0.699,0.515,98711257.52,99476044.79,174727.88,23608.39,861374.56,95582475.09,48962492.19,32478045.56,9862.39,9864149.84,2147646.73,4122335.99,7779299.28
2921609,BA,8958,Morpará,2077.62651484706,82.3531089528913,,,567.287010493414,,,,25.5749899531145,,476.786105157401,,901.691558383568,,,,,,,,23.9337419066756,,,,,,,,,,2077.62651484706,0.558,0.444,0.732,0.536,18265222.19,20257718.23,9136.08,8186.38,136680.55,19710414.42,10987591.98,8857648.76,5437.14,1251749.18,227136.54,545536.96,2992892.88
2921708,BA,36789,Morro do Chapéu,1834.14883062872,61.0814922938922,,,127.276023539645,,,,86.2238207072766,58.2591587159205,440.100239201935,,650.262364565495,8.49064394248281,,235.580624915056,,25.8668085569056,7.07871510505858,,9.47021365081954,,,,,,59.9095819402539,19.4144067520183,45.1347367419609,0.144617684633994,1834.29344831335,0.588,0.478,0.766,0.554,68264156.98,70611011.46,144370.48,302844.59,1494387.12,63884307.93,36774200.47,23620396.77,130267.85,9901862.01,1277076.65,1612259.25,8116152
2921807,BA,12505,Mortugaba,1810.23051259496,73.2564254298281,,,265.668899640144,,,,18.805218712515,,493.873273090764,,718.528660535786,22.5786245501799,,111.134183126749,,,15.9117041183527,,,,,,,,10.4000143942423,38.7484942023191,41.3250147940824,,1810.23051259496,0.618,0.513,0.771,0.598,25932398.37,26611265.49,7117.62,43150,401744.67,25472056.69,16035383.54,11810198.36,1240.27,2780679.22,161435.22,1166062.92,2416248.17
2921906,BA,10096,Mucugê,3518.5382161252,136.350515055468,,,827.574185816165,,2.28685618066561,,72.8590927099842,,645.070988510301,,1204.58532389065,61.6353011093502,,421.408937202853,,11.5112757527734,0.0708201267828843,,,,,,,,9.25405507131537,65.9320463549921,59.9988183438986,,3518.5382161252,0.606,0.48,0.787,0.589,36222239.65,40798103.82,8017.48,123153.47,672296.55,38807375.5,17220748.69,11810198.36,145119.99,3417270.32,333075.04,1300512.22,12371096.64
2922003,BA,41587,Mucuri,2696.16142881189,153.478656070407,25.6557558852526,,326.976053814894,,,,90.2557551638733,,568.460531896987,16.7541262894655,861.066443359704,0.188039531584389,,434.407926275038,,,14.2424916440234,,19.0326787217159,,,44.062919181475,,,,22.3327030081516,119.247347969317,,2696.16142881189,0.665,0.541,0.801,0.679,122741241.45,133206441.64,351627.47,1009056,12779325.36,116188296.51,39847465.1,26572946.38,885284.76,7561322.27,306767.18,1712405.61,53899193.19
2922052,BA,12159,Mulungu do Morro,2538.90475450284,75.505606546591,6.2381774817008,,257.947294185377,,,,69.9779973682046,,502.772916358253,,1150.04641993585,48.7215502919648,,267.921649806727,,,1.15141047783535,,6.22745373797187,,,,4.23293445184637,7.44281766592647,118.660082243606,,22.0584439509828,,2538.90475450284,0.566,0.466,0.753,0.517,30448472.53,32667685.47,23431.37,0,1405670.36,29806135.83,15882653.14,11819682.85,1736.98,1449783.16,329297.65,2168059.7,2143480.63
2922102,BA,27165,Mundo Novo,1601.05081575557,59.4452206883858,,,122.223199337383,,,,60.8375475796061,,349.061028529358,,706.072226394257,8.27956929872998,1.03707564881281,239.898315111357,1.68692435118719,1.05080323946254,,,11.6743081170624,,,,,,0.647446714522363,12.1769722068839,26.9601785385606,,1601.05081575557,0.59,0.429,0.791,0.606,42610018.69,46445184.82,36849.74,99812.57,773458.52,43629987.14,25780991.2,20667847.17,17186.64,2820718.65,801906.94,1280144.33,4027168.22
2922201,BA,7650,Muniz Ferreira,1909.20581045752,87.9742287581699,,,370.884952941176,,,,65.8783281045752,,350.325352941177,,735.366184313725,,,162.368708496732,,,,,,,,6.11764705882353,,,130.290407843137,,,,1909.20581045752,0.617,0.531,0.761,0.581,15480605.89,17360466.01,12714.29,6195,99066.64,16783190.89,10989695.82,8857648.76,2278.27,1473222.66,230740.81,327279.97,1833291.17
2922250,BA,11571,Muquém de São Francisco,2679.95734162994,87.0482456140351,,,294.325737619912,,,,113.545324518192,,440.02765448103,,1355.34812116498,38.06,,243.734556218132,,,32.9803232218477,,12.8936193933109,,,,,,13.4566588886008,,48.5371005098954,,2679.95734162994,0.549,0.445,0.761,0.488,32162406.38,33981653.11,11719.54,67804.29,1079765.4,31966942.67,15443192.97,11810198.36,31455.96,1702441.93,406561.18,1323963.43,5064111.22
2922300,BA,30585,Muritiba,1657.58335000817,62.5160595062939,,,164.263823769822,,,,58.3994310936734,,412.569620402158,9.0045715219879,604.800358345594,61.0055795324505,,174.205540624489,,,18.6669190779794,,0.334477685139774,,,,,,12.3507902566618,12.0744008500899,67.3917773418342,,1657.58335000817,0.66,0.573,0.796,0.629,51778408.37,55200339.29,307419.01,158052.72,867303.96,51936359.39,32213363.44,23620396.77,4258.35,6634538.82,509233.9,1195181.68,6379084.73
2922409,BA,22917,Mutuípe,1608.73742461928,63.115466684121,,,185.415317886285,,3.84412793995724,,56.2473696382598,,370.393133045337,,749.848809180957,0.191560850024,,9.28240432866431,,83.5518942269931,,,0.0562407819522625,,,,,,13.7516411397652,3.839914037614,69.1995448793472,,1608.73742461928,0.601,0.467,0.751,0.618,44617403.9,48207190.46,132356.62,37613.82,399071.53,46311896.32,23216262,17715297.55,16817.76,3405730.7,691557.95,1206380.42,4571511.71
